snapshot,G,beta,status,A_star,B,partition_code,D,gaps
archive_05,2,0.9,FEASIBLE_WITH_REPORTED_STOCK,0.875,0.8499353099196237,0|1+2+3,"{""U_A"": 0, ""U_B"": 3, ""U_C"": 3, ""P_A"": 0, ""P_B"": 5, ""P_C"": 5, ""U_R"": 2, ""P_R"": 3}","{""U_A"": 0, ""U_B"": 1, ""U_C"": 1, ""P_A"": 0, ""P_B"": 1, ""P_C"": 1, ""U_R"": 0, ""P_R"": 0}"
archive_05,2,1.0,FEASIBLE_WITH_REPORTED_STOCK,0.78125,0.9551648118287097,0+1+3|2,"{""U_A"": 0, ""U_B"": 2, ""U_C"": 3, ""P_A"": 0, ""P_B"": 4, ""P_C"": 5, ""U_R"": 2, ""P_R"": 3}","{""U_A"": 0, ""U_B"": 0, ""U_C"": 1, ""P_A"": 0, ""P_B"": 0, ""P_C"": 1, ""U_R"": 0, ""P_R"": 0}"
archive_05,3,0.8,BALANCE_INFEASIBLE,,,,,
archive_05,3,0.85,FEASIBLE_WITH_REPORTED_STOCK,1.0,0.8282336157016194,0+2|1|3,"{""U_A"": 0, ""U_B"": 4, ""U_C"": 3, ""P_A"": 0, ""P_B"": 6, ""P_C"": 6, ""U_R"": 2, ""P_R"": 3}","{""U_A"": 0, ""U_B"": 2, ""U_C"": 1, ""P_A"": 0, ""P_B"": 2, ""P_C"": 2, ""U_R"": 0, ""P_R"": 0}"
archive_05,3,0.9,FEASIBLE_WITH_REPORTED_STOCK,0.96875,0.8538250913112501,0|1+3|2,"{""U_A"": 0, ""U_B"": 3, ""U_C"": 4, ""P_A"": 0, ""P_B"": 5, ""P_C"": 6, ""U_R"": 2, ""P_R"": 3}","{""U_A"": 0, ""U_B"": 1, ""U_C"": 2, ""P_A"": 0, ""P_B"": 1, ""P_C"": 2, ""U_R"": 0, ""P_R"": 0}"
archive_05,3,1.0,FEASIBLE_WITH_REPORTED_STOCK,0.875,0.9407821332619015,0+1|2|3,"{""U_A"": 0, ""U_B"": 3, ""U_C"": 3, ""P_A"": 0, ""P_B"": 5, ""P_C"": 5, ""U_R"": 2, ""P_R"": 3}","{""U_A"": 0, ""U_B"": 1, ""U_C"": 1, ""P_A"": 0, ""P_B"": 1, ""P_C"": 1, ""U_R"": 0, ""P_R"": 0}"
archive_06,2,0.8,FEASIBLE_WITH_REPORTED_STOCK,0.9583333333333334,0.7687312320784564,0+2+3|1,"{""U_A"": 1, ""U_B"": 3, ""U_C"": 3, ""P_A"": 1, ""P_B"": 5, ""P_C"": 6, ""U_R"": 2, ""P_R"": 3}","{""U_A"": 0, ""U_B"": 1, ""U_C"": 1, ""P_A"": 0, ""P_B"": 1, ""P_C"": 2, ""U_R"": 0, ""P_R"": 0}"
archive_06,2,0.85,FEASIBLE_WITH_REPORTED_STOCK,0.9270833333333334,0.8134357535393429,0+3|1+2,"{""U_A"": 1, ""U_B"": 3, ""U_C"": 3, ""P_A"": 1, ""P_B"": 5, ""P_C"": 5, ""U_R"": 2, ""P_R"": 3}","{""U_A"": 0, ""U_B"": 1, ""U_C"": 1, ""P_A"": 0, ""P_B"": 1, ""P_C"": 1, ""U_R"": 0, ""P_R"": 0}"
archive_06,2,0.9,FEASIBLE_WITH_REPORTED_STOCK,0.9270833333333334,0.8134357535393429,0+3|1+2,"{""U_A"": 1, ""U_B"": 3, ""U_C"": 3, ""P_A"": 1, ""P_B"": 5, ""P_C"": 5, ""U_R"": 2, ""P_R"": 3}","{""U_A"": 0, ""U_B"": 1, ""U_C"": 1, ""P_A"": 0, ""P_B"": 1, ""P_C"": 1, ""U_R"": 0, ""P_R"": 0}"
archive_06,2,1.0,FEASIBLE_WITH_REPORTED_STOCK,0.8333333333333334,0.9552954785391135,0+1+3|2,"{""U_A"": 1, ""U_B"": 2, ""U_C"": 3, ""P_A"": 1, ""P_B"": 4, ""P_C"": 5, ""U_R"": 2, ""P_R"": 3}","{""U_A"": 0, ""U_B"": 0, ""U_C"": 1, ""P_A"": 0, ""P_B"": 0, ""P_C"": 1, ""U_R"": 0, ""P_R"": 0}"
archive_06,3,0.8,BALANCE_INFEASIBLE,,,,,
archive_06,3,0.85,FEASIBLE_WITH_REPORTED_STOCK,1.0208333333333333,0.8265484240588422,0+3|1|2,"{""U_A"": 1, ""U_B"": 3, ""U_C"": 4, ""P_A"": 1, ""P_B"": 5, ""P_C"": 6, ""U_R"": 2, ""P_R"": 3}","{""U_A"": 0, ""U_B"": 1, ""U_C"": 2, ""P_A"": 0, ""P_B"": 1, ""P_C"": 2, ""U_R"": 0, ""P_R"": 0}"
archive_06,3,0.9,FEASIBLE_WITH_REPORTED_STOCK,1.0208333333333333,0.8265484240588422,0+3|1|2,"{""U_A"": 1, ""U_B"": 3, ""U_C"": 4, ""P_A"": 1, ""P_B"": 5, ""P_C"": 6, ""U_R"": 2, ""P_R"": 3}","{""U_A"": 0, ""U_B"": 1, ""U_C"": 2, ""P_A"": 0, ""P_B"": 1, ""P_C"": 2, ""U_R"": 0, ""P_R"": 0}"
archive_06,3,1.0,FEASIBLE_WITH_REPORTED_STOCK,0.9270833333333334,0.9409547165421195,0+1|2|3,"{""U_A"": 1, ""U_B"": 3, ""U_C"": 3, ""P_A"": 1, ""P_B"": 5, ""P_C"": 5, ""U_R"": 2, ""P_R"": 3}","{""U_A"": 0, ""U_B"": 1, ""U_C"": 1, ""P_A"": 0, ""P_B"": 1, ""P_C"": 1, ""U_R"": 0, ""P_R"": 0}"
